subset,phase,boot_mean,boot_median,boot_ci_lo,boot_ci_hi,n_valid_iters,n_skipped_iters,n_recordings,n_mice,note
HFD,A,-2.7913426647742328,-1.6216062392044408,-10.762706611528662,-0.09612493418094413,668,332.0,17,8,
HFD,B,-2.4607136794481583,-1.3944034451202283,-8.960243871037369,-0.051358970002622774,869,131.0,22,9,
HFD,C,,,,,0,,8,5,phase_skipped_too_few_mice
HFD,D,-2.0085268255315976,-1.1024222732610043,-10.538694043423359,0.07715085311277267,957,43.0,31,9,
CTRL,A,-2.4000683987071394,-1.4495209800894397,-10.855827979879075,-0.03847261402394003,596,404.0,15,7,
CTRL,B,-4.671618996621748,-2.0333128793677497,-48.09059697693151,0.001974232517940183,896,104.0,26,9,
CTRL,C,-1.1494026063743608,-0.5257380119338877,-5.916007659869457,0.2843280845051138,649,351.0,15,8,
CTRL,D,-1.1800904568313446,-0.954746333839063,-4.249637081526129,-0.061244976041840614,942,58.0,29,9,
