phase,cell,cell_type,model,metric,value,note,n_recordings,n_mice
A,low_gamma_delta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.3914032274914628,,27,15
A,low_gamma_delta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.7661691542288557,,27,15
A,high_gamma_delta,ratio,svm_rbf,balanced_accuracy,0.29411764705882354,,27,15
A,high_gamma_delta,ratio,svm_rbf,roc_auc,0.06470588235294118,,27,15
A,high_gamma_delta,ratio,svm_rbf,accuracy,0.37037037037037035,,27,15
A,high_gamma_delta,ratio,random_forest,balanced_accuracy,0.5029411764705882,,27,15
A,high_gamma_delta,ratio,random_forest,roc_auc,0.5029411764705883,,27,15
A,high_gamma_delta,ratio,random_forest,accuracy,0.5555555555555556,,27,15
A,high_gamma_delta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.39226558149023316,,27,15
A,high_gamma_delta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.7014925373134329,,27,15
A,fast_gamma_delta,ratio,svm_rbf,balanced_accuracy,0.49117647058823527,,27,15
A,fast_gamma_delta,ratio,svm_rbf,roc_auc,0.8647058823529412,,27,15
A,fast_gamma_delta,ratio,svm_rbf,accuracy,0.5925925925925926,,27,15
A,fast_gamma_delta,ratio,random_forest,balanced_accuracy,0.20588235294117646,,27,15
A,fast_gamma_delta,ratio,random_forest,roc_auc,0.14705882352941174,,27,15
A,fast_gamma_delta,ratio,random_forest,accuracy,0.25925925925925924,,27,15
A,fast_gamma_delta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.41099844769523564,,27,15
A,fast_gamma_delta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.29850746268656714,,27,15
A,beta_theta,ratio,svm_rbf,balanced_accuracy,0.7117647058823529,,27,15
A,beta_theta,ratio,svm_rbf,roc_auc,0.6411764705882353,,27,15
A,beta_theta,ratio,svm_rbf,accuracy,0.7407407407407407,,27,15
A,beta_theta,ratio,random_forest,balanced_accuracy,0.6147058823529412,,27,15
A,beta_theta,ratio,random_forest,roc_auc,0.5117647058823529,,27,15
A,beta_theta,ratio,random_forest,accuracy,0.5925925925925926,,27,15
A,beta_theta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.3827589926950415,,27,15
A,beta_theta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.04477611940298507,,27,15
A,low_gamma_theta,ratio,svm_rbf,balanced_accuracy,0.47058823529411764,,27,15
A,low_gamma_theta,ratio,svm_rbf,roc_auc,0.1411764705882353,,27,15
A,low_gamma_theta,ratio,svm_rbf,accuracy,0.5925925925925926,,27,15
A,low_gamma_theta,ratio,random_forest,balanced_accuracy,0.6029411764705883,,27,15
A,low_gamma_theta,ratio,random_forest,roc_auc,0.4647058823529412,,27,15
A,low_gamma_theta,ratio,random_forest,accuracy,0.6296296296296297,,27,15
A,low_gamma_theta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.3765270257241039,,27,15
A,low_gamma_theta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.3333333333333333,,27,15
A,high_gamma_theta,ratio,svm_rbf,balanced_accuracy,0.38235294117647056,,27,15
A,high_gamma_theta,ratio,svm_rbf,roc_auc,0.08235294117647057,,27,15
A,high_gamma_theta,ratio,svm_rbf,accuracy,0.48148148148148145,,27,15
A,high_gamma_theta,ratio,random_forest,balanced_accuracy,0.8411764705882353,,27,15
A,high_gamma_theta,ratio,random_forest,roc_auc,0.7999999999999999,,27,15
A,high_gamma_theta,ratio,random_forest,accuracy,0.8518518518518519,,27,15
A,high_gamma_theta,ratio,svm_rbf,perm_null_mean_balanced_accuracy,0.37997419518046455,,27,15
A,high_gamma_theta,ratio,svm_rbf,perm_p_value_balanced_accuracy,0.4577114427860697,,27,15
A,fast_gamma_theta,ratio,svm_rbf,balanced_accuracy,0.3235294117647059,,27,15
A,fast_gamma_theta,ratio,svm_rbf,roc_auc,0.07058823529411765,,27,15
A,fast_gamma_theta,ratio,svm_rbf,accuracy,0.4074074074074074,,27,15
