term,VIF
group[T.HF],8.600200848610397
group[T.HF]:days_on_diet,8.008393886636005
C(estrous_phase)[T.D],2.2305815737459933
days_on_diet,2.1585849128514663
C(estrous_phase)[T.B],1.9952453803945174
body_weight,1.9725123884164315
C(estrous_phase)[T.C],1.8283774285059742
