term,VIF
C(estrous_phase)[T.D],2.2079848488732097
C(estrous_phase)[T.B],1.9901139921352813
body_weight,1.939549615315506
group[T.HF],1.8613725142005955
C(estrous_phase)[T.C],1.825648879597424
days_on_diet,1.1447457389553355
