mouse,group,differential_file,days_on_diet,body_weight,total_power
18,CTRL,Mouse18_Cable1_CTRL_2026-03-24_13-50-15_DIFF_Ch3_minus_Ch4.npy,29.0,30.37,77830.29406241143
18,CTRL,Mouse18_Cable1_CTRL_2026-04-01_12-28-44_DIFF_Ch3_minus_Ch4.npy,,30.43,864587.215749109
18,CTRL,Mouse18_Cable1_CTRL_2026-03-30_12-01-38_DIFF_Ch3_minus_Ch4.npy,35.0,30.1,118066.29400524143
19,CTRL,Mouse19_Cable1_CTRL_2026-02-21_13-53-25_DIFF_Ch3_minus_Ch4.npy,,29.1,236961.82506225948
19,CTRL,Mouse19_Cable1_CTRL_2026-03-04_12-59-01_DIFF_Ch3_minus_Ch4.npy,9.0,29.37,521474.0010943062
19,CTRL,Mouse19_Cable1_CTRL_2026-03-09_13-11-23_DIFF_Ch3_minus_Ch4.npy,14.0,29.7,187853.2870356926
19,CTRL,Mouse19_Cable1_CTRL_2026-03-14_13-02-22_DIFF_Ch3_minus_Ch4.npy,19.0,29.15,165414.8314389553
19,CTRL,Mouse19_Cable1_CTRL_2026-03-19_19-00-58_DIFF_Ch3_minus_Ch4.npy,24.0,28.5,120898.00330102442
19,CTRL,Mouse19_Cable1_CTRL_2026-03-27_12-30-35_DIFF_Ch3_minus_Ch4.npy,32.0,29.03,281829.1594240021
19,CTRL,Mouse19_Cable1_CTRL_2026-04-01_12-52-41_DIFF_Ch3_minus_Ch4.npy,,29.27,105906.61783402275
19,CTRL,Mouse19_Cable1_CTRL_2026-03-30_12-31-14_DIFF_Ch3_minus_Ch4.npy,35.0,28.8,84672.85546610942
24,CTRL,Mouse24_Cable1_CTRL_2026-03-06_13-06-06_DIFF_Ch2_minus_Ch3.npy,11.0,27.02,70070.63384782895
24,CTRL,Mouse24_Cable1_CTRL_2026-03-11_13-10-18_DIFF_Ch2_minus_Ch3.npy,16.0,26.93,182918.65322098558
24,CTRL,Mouse24_Cable1_CTRL_2026-03-17_12-19-55_DIFF_Ch2_minus_Ch3.npy,22.0,26.57,38425.30039592731
24,CTRL,Mouse24_Cable1_CTRL_2026-03-24_14-29-11_DIFF_Ch2_minus_Ch3.npy,29.0,25.8,39392.15274543402
24,CTRL,Mouse24_Cable1_CTRL_2026-04-01_13-17-43_DIFF_Ch2_minus_Ch3.npy,,26.07,43800.41819408512
24,CTRL,Mouse24_Cable1_CTRL_2026-03-30_12-54-24_DIFF_Ch2_minus_Ch3.npy,35.0,25.2,45177.4842736083
26,CTRL,Mouse26_Cable1_CTRL_2026-02-21_14-36-19_DIFF_Ch3_minus_Ch4.npy,,33.0,94419.145839512
26,CTRL,Mouse26_Cable1_CTRL_2026-03-04_13-38-17_DIFF_Ch3_minus_Ch4.npy,9.0,34.33,28418225.89209503
26,CTRL,Mouse26_Cable1_CTRL_2026-03-09_13-51-01_DIFF_Ch3_minus_Ch4.npy,14.0,33.9,178718322.05382368
26,CTRL,Mouse26_Cable1_CTRL_2026-03-14_13-38-05_DIFF_Ch3_minus_Ch4.npy,19.0,34.0,100606771.51130037
26,CTRL,Mouse26_Cable1_CTRL_2026-03-19_15-33-40_DIFF_Ch3_minus_Ch4.npy,24.0,32.3,110574.85680564969
26,CTRL,Mouse26_Cable1_CTRL_2026-03-24_15-03-43_DIFF_Ch3_minus_Ch4.npy,29.0,31.93,104602.017413593
26,CTRL,Mouse26_Cable1_CTRL_2026-04-01_13-41-00_DIFF_Ch3_minus_Ch4.npy,,31.6,89541.55936795451
26,CTRL,Mouse26_Cable1_CTRL_2026-03-30_13-16-59_DIFF_Ch3_minus_Ch4.npy,35.0,30.4,114003.8790597459
1,HF,Mouse1_Cable1_HF_2026-02-21_12-36-13_DIFF_Ch2_minus_Ch3.npy,,31.4,528055.409549048
1,HF,Mouse1_Cable1_HF_2026-03-03_12-16-25_DIFF_Ch2_minus_Ch3.npy,8.0,39.87,873557.0297962057
1,HF,Mouse1_Cable1_HF_2026-03-08_11-08-40_DIFF_Ch2_minus_Ch3.npy,13.0,38.43,970647.2958476264
1,HF,Mouse1_Cable1_HF_2026-03-13_12-37-21_DIFF_Ch2_minus_Ch3.npy,18.0,36.83,1001166.6187766249
1,HF,Mouse1_Cable1_HF_2026-03-19_12-55-20_DIFF_Ch2_minus_Ch3.npy,24.0,35.7,283790.3135852225
1,HF,Mouse1_Cable1_HF_2026-03-26_11-06-11_DIFF_Ch2_minus_Ch3.npy,31.0,36.5,764631.1399365979
1,HF,Mouse1_Cable1_HF_2026-03-31_10-10-35_DIFF_Ch2_minus_Ch3.npy,,35.6,263828.8927068336
1,HF,Mouse1_Cable1_HF_2026-04-02_11-07-38_DIFF_Ch2_minus_Ch3.npy,,35.6,294904.05608139146
4,HF,Mouse4_Cable1_HF_2026-03-05_10-11-36_DIFF_Ch2_minus_Ch3.npy,10.0,39.9,228410.24574895797
4,HF,Mouse4_Cable1_HF_2026-03-10_11-57-39_DIFF_Ch2_minus_Ch3.npy,15.0,40.0,217363.62958350682
4,HF,Mouse4_Cable1_HF_2026-03-16_10-06-17_DIFF_Ch2_minus_Ch3.npy,21.0,39.2,256813.75293642734
4,HF,Mouse4_Cable1_HF_2026-03-23_10-13-09_DIFF_Ch2_minus_Ch3.npy,28.0,38.8,389319.78442686447
4,HF,Mouse4_Cable1_HF_2026-03-29_11-58-50_DIFF_Ch2_minus_Ch3.npy,34.0,38.45,251244.4515911327
4,HF,Mouse4_Cable1_HF_2026-03-31_10-34-19_DIFF_Ch2_minus_Ch3.npy,,38.17,67757.78502805512
4,HF,Mouse4_Cable1_HF_2026-04-02_11-35-16_DIFF_Ch2_minus_Ch3.npy,,37.9,78291.52998744891
9,HF,Mouse9_Cable1_HF_2026-02-19_10-00-27_DIFF_Ch3_minus_Ch4.npy,,32.8,91839.36199607293
