mouse,group,n_recordings,total_power_median,total_power_max,total_power_q25,total_power_q75,total_power_iqr,total_power_median_log10,total_power_median_modz,total_power_median_is_outlier,total_power_max_log10,total_power_max_modz,total_power_max_is_outlier,total_power_iqr_log10,total_power_iqr_modz,total_power_iqr_is_outlier,is_outlier_any,n_metrics_flagging
1,HF,8,646343.274742823,1001166.6187766249,292125.6204573492,897829.5963090609,605703.9758517117,5.810463234296248,0.7866448985743654,False,6.000506360789567,0.0,False,5.782260424389391,0.29160297085283826,False,False,0
2,CTRL,7,629768.7512896681,919786.4706051209,241546.74533198256,656179.0445993991,414632.2992674165,5.799181107429211,0.7669989137385199,False,5.963687017126741,-0.039523304026693386,False,5.617663129999128,0.08129786187331144,False,False,0
4,HF,7,228410.24574895797,389319.78442686447,147827.57978547786,254029.10226378002,106201.52247830215,5.358715581064331,0.0,False,5.590306474227,-0.4403243842908646,False,5.026130742726486,-0.6745,False,False,0
5,CTRL,6,26532.075804356555,235587.2736867683,7036.7093365850005,47506.19453813712,40469.48520155212,4.423771229443719,-1.628053182770381,False,5.372151826365951,-0.6745,False,4.6071276799154806,-1.20985803922933,False,False,0
7,CTRL,7,219064.06934145815,593201.5129643317,175908.1766379043,250609.25639193231,74701.079754028,5.340571150877083,-0.031595567441741204,False,5.773202250028668,-0.24399700218422402,False,4.873326879296351,-0.8697367034355596,False,False,0
8,CTRL,6,557264.8217587605,980769.6140821724,253686.7456175523,887044.1984658154,633357.4528482631,5.746061628381414,0.6745,False,5.991567002197931,-0.009595852404549786,False,5.801648885348088,0.31637550681686394,False,False,0
9,HF,8,140792.7892175517,9143261.294696458,101951.50371346841,333909.62007086456,231958.11635739615,5.148580412737773,-0.3659161414398992,False,6.961101131145268,1.0311394875175899,False,5.365409573352129,-0.24100519856058294,False,False,0
10,HF,7,167280.2749682314,230940.54994514128,101568.57462204856,203471.28296079865,101902.70833875009,5.223444733685079,-0.23555213016699816,False,5.363500195676969,-0.6837869941729178,False,5.008185726704597,-0.6974282538580168,False,False,0
13,CTRL,8,295666.0739619154,1364793.5663784277,209149.2066856381,567274.1618455359,358124.95515989774,5.4708014945078,0.19517934710130588,False,6.135066966568954,0.144442545769883,False,5.5540345849343336,0.0,False,False,0
14,HF,8,46828.15973706993,93504.65349519295,15339.555841699545,69840.00268977084,54500.4468480713,4.670507091120977,-1.1984029001509324,False,4.970833225171911,-1.1052908699245423,False,4.736400063062992,-1.0446873860506667,False,False,0
17,HF,8,291919.75321807025,1165518.5203557583,61267.39790335452,617049.4339557812,555782.0360524267,5.46526348321465,0.18553580318727217,False,6.066519178950035,0.07086070587535218,False,5.744904505432744,0.24387350703442898,False,False,0
18,CTRL,7,118066.29400524143,1146618.09098493,85993.03683187699,672532.5976210539,586539.560789177,5.072125931340582,-0.4990491579237124,False,6.059418789656471,0.06323887406522291,False,5.768297309636569,0.27376237158500755,False,False,0
19,CTRL,8,176634.05923732393,521474.0010943062,117150.15693427401,248178.65865269513,131028.50171842112,5.247074449596232,-0.19440483179525125,False,5.717232660868507,-0.30407691856957836,False,5.11736577498914,-0.5579294726786034,False,False,0
21,HF,8,748137.8976821313,4948287.618786672,265620.28309291805,1997582.508901312,1731962.225808394,5.873981654926954,0.8972518739447373,False,6.694454935019663,0.744911173033159,False,6.238538415798031,0.8745869929391098,False,False,0
22,HF,8,816957.3467078898,14042186.703366956,652484.151816921,937932.0135268292,285447.86170990823,5.912199382636502,0.9638018168669336,False,7.147434743068616,1.2311571755535093,False,5.45552679405468,-0.12586289326942657,False,False,0
23,HF,9,42550180.82740941,389026924.9225365,5545589.87627467,54021936.4334942,48476346.557219535,7.628901410065241,3.953158557489128,True,8.589979660299024,2.7796405450010333,False,7.685529881582569,2.7234004806185554,False,True,1
24,CTRL,6,44488.95123384671,182918.65322098558,40494.21910759679,63847.34645427379,23353.127346677,4.6482521679705275,-1.2371562210353204,False,5.262257995131302,-0.7924642782967484,False,4.368345047577053,-1.514949369572133,False,False,0
25,HF,8,742056.1052722107,47782721.08268445,269937.44400693633,21615377.691181798,21345440.247174863,5.870436742595691,0.8910789869771328,False,7.679270877886555,1.8020506016091582,False,7.329305116504547,2.2682539466584477,False,False,0
26,CTRL,8,112289.36793269779,178718322.05382368,102056.29952007275,46465362.29689637,46363305.99737629,5.050338637234262,-0.5369881790561091,False,8.25216907829735,2.417021633101022,False,7.666174396343036,2.6986700775598025,False,False,0
