mouse,group,n_recordings,total_power_median,total_power_max,total_power_q25,total_power_q75,total_power_iqr,total_power_median_log10,total_power_median_modz,total_power_median_is_outlier,total_power_max_log10,total_power_max_modz,total_power_max_is_outlier,total_power_iqr_log10,total_power_iqr_modz,total_power_iqr_is_outlier,is_outlier_any,n_metrics_flagging
1,HF,8,646343.274742823,1001166.6187766249,292125.6204573492,897829.5963090609,605703.9758517117,5.810463234296248,1.1806587981468284,False,6.000506360789567,0.5190911248722568,False,5.782260424389391,0.8789454283215111,False,False,0
2,CTRL,7,629768.7512896681,919786.4706051209,241546.74533198256,656179.0445993991,414632.2992674165,5.799181107429211,1.1523111353165678,False,5.963687017126741,0.42196301639604883,False,5.617663129999128,0.6613590188821982,False,False,0
4,HF,7,228410.24574895797,389319.78442686447,147827.57978547786,254029.10226378002,106201.52247830215,5.358715581064331,0.0455900022448889,False,5.590306474227,-0.5630014687337294,False,5.026130742726486,-0.1206064969576142,False,False,0
5,CTRL,6,26532.075804356555,235587.2736867683,7036.7093365850005,47506.19453813712,40469.48520155212,4.423771229443719,-2.3035669924556887,False,5.372151826365951,-1.1384856081598782,False,4.6071276799154806,-0.6745,False,False,0
7,CTRL,7,219064.06934145815,593201.5129643317,175908.1766379043,250609.25639193231,74701.079754028,5.340571150877083,0.0,False,5.773202250028668,-0.08052896964243669,False,4.873326879296351,-0.3226027941348117,False,False,0
8,CTRL,6,557264.8217587605,980769.6140821724,253686.7456175523,887044.1984658154,633357.4528482631,5.746061628381414,1.0188422336181049,False,5.991567002197931,0.4955094174157821,False,5.801648885348088,0.9045756528047563,False,False,0
9,HF,7,132084.97092417168,636398.5605709489,99760.27730050319,191290.29037421744,91530.01307371425,5.120853404927011,-0.5520665255250428,False,5.803729188672845,0.0,False,4.961563524394644,-0.2059599607332662,False,False,0
10,HF,7,167280.2749682314,230940.54994514128,101568.57462204856,203471.28296079865,101902.70833875009,5.223444733685079,-0.29429381730995946,False,5.363500195676969,-1.1613082997252353,False,5.008185726704597,-0.1443285855739427,False,False,0
13,CTRL,8,295666.0739619154,1364793.5663784277,209149.2066856381,567274.1618455359,358124.95515989774,5.4708014945078,0.3272189645641082,False,6.135066966568954,0.8740571784350252,False,5.5540345849343336,0.5772464172153071,False,False,0
14,HF,8,46828.15973706993,93504.65349519295,15339.555841699545,69840.00268977084,54500.4468480713,4.670507091120977,-1.6836142922785038,False,4.970833225171911,-2.1971496893898177,False,4.736400063062992,-0.5036107165951441,False,False,0
17,HF,8,291919.75321807025,1165518.5203557583,61267.39790335452,617049.4339557812,555782.0360524267,5.46526348321465,0.3133040637002403,False,6.066519178950035,0.693230572381845,False,5.744904505432744,0.8295634484585194,False,False,0
18,CTRL,7,118066.29400524143,1146618.09098493,85993.03683187699,672532.5976210539,586539.560789177,5.072125931340582,-0.6745,False,6.059418789656471,0.6745,False,5.768297309636569,0.8604871419024646,False,False,0
19,CTRL,8,176634.05923732393,521474.0010943062,117150.15693427401,248178.65865269513,131028.50171842112,5.247074449596232,-0.23492139335846624,False,5.717232660868507,-0.22817473913521574,False,5.11736577498914,0.0,False,False,0
21,HF,6,323949.4923814602,1286944.3954802994,245309.94828980765,936145.0793889733,690835.1310991657,5.510477303756254,0.4269090740929293,False,6.109559782912343,0.8067701424734576,False,5.839374414672151,0.9544462323925209,False,False,0
22,HF,7,734456.8462873363,1031632.1788196259,602582.053672262,903078.23611217,300496.18243990804,5.865966283489301,1.3201166985160468,False,6.013524880253258,0.5534335124565769,False,5.477838959014919,0.47652099083328525,False,False,0
23,HF,2,58538.67642296755,76449.25541320177,49583.38692785043,67493.96591808465,17910.578990234222,4.767442898680281,-1.4400517423040933,False,4.883373259905141,-2.4278659420082196,False,4.253109625391156,-1.1424877494097834,False,False,0
24,CTRL,6,44488.95123384671,182918.65322098558,40494.21910759679,63847.34645427379,23353.127346677,4.6482521679705275,-1.7395323886815475,False,5.262257995131302,-1.428381594866502,False,4.368345047577053,-0.990154372080976,False,False,0
25,HF,5,333484.79826786066,977882.3175863636,79295.38122416325,506229.8929580578,426934.5117338946,5.523076041614318,0.4585648759728684,False,5.990286593133144,0.4921317442101594,False,5.630361262908371,0.6781450854851789,False,False,0
26,CTRL,5,104602.017413593,114003.8790597459,94419.145839512,110574.85680564969,16155.710966137689,5.019540060660721,-0.8066281482859247,False,5.056919628753855,-1.970056843248846,False,4.208326074818925,-1.201688552236176,False,False,0
