mouse,group,cable,differential_file,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,theta_delta,log_theta_delta,low_gamma_theta,log_low_gamma_theta,high_gamma_theta,log_high_gamma_theta,fast_gamma_theta,log_fast_gamma_theta,beta_theta,log_beta_theta
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-19_17-01-34_DIFF_Ch3_minus_Ch4.npy,2026-03-19,diet,24.0,,30.3,measured,C,0.6760021182794707,-0.17005194317723407,0.05919410265194636,-1.227721558704366,0.026088686427715925,-1.5835477871916976,0.012241447209593604,-1.9121672359496893,0.1947198214821357,-0.7105898372721805
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-27_11-12-28_DIFF_Ch3_minus_Ch4.npy,2026-03-27,diet,32.0,,28.72,interpolated,D,0.5902035112912107,-0.22899821108502402,0.06455957822613247,-1.1900393155638922,0.030606937537910547,-1.5141801227686638,0.014151464805878552,-1.8491986043669035,0.1494110510422425,-0.8256172791660744
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-04-01_11-18-33_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,29.0,interpolated,A,0.5615627869205494,-0.25060167931581007,0.07033670307854901,-1.152817992407339,0.03725476497735709,-1.4288181720156612,0.017422863284248136,-1.7588804712362773,0.15190439553454502,-0.818429659127479
7,CTRL,Cable1,Mouse7_Cable1_CTRL_2026-03-30_10-51-09_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,28.2,measured,D,0.6904964207360519,-0.16083856829260665,0.05591962026196424,-1.2524357864521722,0.026060071973480446,-1.5840243891743844,0.011824034612442712,-1.9272343076391283,0.15330583128455383,-0.8144413255987276
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-06_11-51-01_DIFF_Ch3_minus_Ch4.npy,2026-03-06,diet,11.0,,30.65,interpolated,C,0.9332693011600518,-0.02999301956332388,0.03251354880270339,-1.4879356253572347,0.012388491901829482,-1.9069815587229932,0.006254748595743982,-2.2037901417140233,0.09435801765050646,-1.0252211917000673
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-11_11-51-53_DIFF_Ch3_minus_Ch4.npy,2026-03-11,diet,16.0,,29.77,interpolated,C,0.7587871351975088,-0.11988004093584681,0.037942827298540496,-1.4208703109168836,0.007809816886821304,-2.107359148705972,0.0034353892618721,-2.46402404617212,0.08426532368156651,-1.074351106655985
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-17_11-09-26_DIFF_Ch3_minus_Ch4.npy,2026-03-17,diet,22.0,,29.2,interpolated,D,2.209660790430665,0.3443256093633694,0.017085122870770568,-1.7673818935461805,0.006959119032391856,-2.1574457350427294,0.0024739184110961696,-2.6066146273402877,0.06110466589405637,-1.2139256261784943
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-24_13-14-52_DIFF_Ch3_minus_Ch4.npy,2026-03-24,diet,29.0,,29.57,interpolated,B,4.236468391424028,0.6270039704546129,0.009900866389781477,-2.0043268001663046,0.004401011690318328,-2.3564474778278757,0.0005878974535649325,-3.23069842092181,0.05072282896456241,-1.2947965325427895
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-04-01_11-42-11_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,29.73,interpolated,A,4.6922387641036,0.671380103037353,0.008750051041091387,-2.057989413629151,0.004109655891507545,-2.3861945408187952,0.0006478661552815297,-3.1885147071335367,0.04463107885135631,-1.350362614984972
8,CTRL,Cable1,Mouse8_Cable1_CTRL_2026-03-30_11-14-35_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,28.6,measured,D,4.830260008394433,0.6839705090479307,0.00926364114116126,-2.0332182771736456,0.0034022849111867356,-2.4682293208894643,0.0005662457782517743,-3.2469950229284157,0.04779949422715462,-1.3205766986916037
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-02-19_11-46-09_DIFF_Ch2_minus_Ch3.npy,2026-02-19,baseline,,,30.5,baseline,D,0.9779098216362355,-0.009701192013497973,0.032576041042174396,-1.4871016965164539,0.015280528832713655,-1.81586161531824,0.01051084075068714,-1.978362543840418,0.10086718988010585,-0.9962500782751896
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-04_12-19-35_DIFF_Ch2_minus_Ch3.npy,2026-03-04,diet,9.0,,28.37,interpolated,B,0.32361472157016974,-0.4899717301028306,0.09217039825439821,-1.0354085359850465,0.05324821355214637,-1.2736949579823602,0.03551569057363339,-1.4495797364078762,0.19166164143461878,-0.7174647967734719
13,CTRL,Cable1,Mouse13_Cable1_CTRL_2026-03-09_12-34-46_DIFF_Ch2_minus_Ch3.npy,2026-03-09,diet,14.0,,27.4,measured,A,0.2957876155103627,-0.5290200136660603,0.06884923782104545,-1.162100863133221,0.01583605981583381,-1.8003528665032194,0.009492616846220507,-2.022614048351296,0.140658520165861,-0.8518339560053756
