mouse,group,cable,filename,file_path
8,CTRL,Cable1,Mouse8_Cable1-2026-03-06_11-51-01.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse8_Cable1-2026-03-06_11-51-01.eeg
8,CTRL,Cable1,Mouse8_Cable1-2026-03-11_11-51-53.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse8_Cable1-2026-03-11_11-51-53.eeg
8,CTRL,Cable1,Mouse8_Cable1-2026-03-17_11-09-26.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse8_Cable1-2026-03-17_11-09-26.eeg
8,CTRL,Cable1,Mouse8_Cable1-2026-03-24_13-14-52.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse8_Cable1-2026-03-24_13-14-52.eeg
8,CTRL,Cable1,Mouse8_Cable1-2026-04-01_11-42-11.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse8_Cable1-2026-04-01_11-42-11.eeg
8,CTRL,Cable1,Mouse8_Cable1-2026-04-03_11-23-15.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse8_Cable1-2026-04-03_11-23-15.eeg
8,CTRL,Cable1,Mouse8_Cable1-2026-04-10_18-39-02.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse8_Cable1-2026-04-10_18-39-02.eeg
8,CTRL,Cable1,Mouse8_Cable1-2026-04-17_12-58-34.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse8_Cable1-2026-04-17_12-58-34.eeg
8,CTRL,Cable1,Mouse8_Cable1_2026-03-30_11-14-35.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse8_Cable1_2026-03-30_11-14-35.eeg
13,CTRL,Cable1,Mouse13_Cable1-2026-02-19_11-46-09.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1-2026-02-19_11-46-09.eeg
13,CTRL,Cable1,Mouse13_Cable1-2026-03-04_12-19-35.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1-2026-03-04_12-19-35.eeg
13,CTRL,Cable1,Mouse13_Cable1-2026-03-09_12-34-46.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1-2026-03-09_12-34-46.eeg
13,CTRL,Cable1,Mouse13_Cable1-2026-03-14_12-26-46.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1-2026-03-14_12-26-46.eeg
13,CTRL,Cable1,Mouse13_Cable1-2026-03-17_11-45-07.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1-2026-03-17_11-45-07.eeg
13,CTRL,Cable1,Mouse13_Cable1-2026-03-27_11-54-52.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1-2026-03-27_11-54-52.eeg
13,CTRL,Cable1,Mouse13_Cable1-2026-04-01_12-05-44.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1-2026-04-01_12-05-44.eeg
13,CTRL,Cable1,Mouse13_Cable1-2026-04-03_11-46-04.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1-2026-04-03_11-46-04.eeg
13,CTRL,Cable1,Mouse13_Cable1-2026-04-10_19-03-30.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1-2026-04-10_19-03-30.eeg
13,CTRL,Cable1,Mouse13_Cable1-2026-04-17_13-22-23.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1-2026-04-17_13-22-23.eeg
13,CTRL,Cable1,Mouse13_Cable1_2026-03-30_11-38-49.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse13_Cable1_2026-03-30_11-38-49.eeg
18,CTRL,Cable1,Mouse18_Cable1-2026-02-21_11-53-58.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-02-21_11-53-58.eeg
18,CTRL,Cable1,Mouse18_Cable1-2026-03-06_12-29-54.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-03-06_12-29-54.eeg
18,CTRL,Cable1,Mouse18_Cable1-2026-03-11_12-32-08.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-03-11_12-32-08.eeg
18,CTRL,Cable1,Mouse18_Cable1-2026-03-19_17-37-41.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-03-19_17-37-41.eeg
18,CTRL,Cable1,Mouse18_Cable1-2026-03-24_13-50-15.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-03-24_13-50-15.eeg
18,CTRL,Cable1,Mouse18_Cable1-2026-04-01_12-28-44.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-04-01_12-28-44.eeg
18,CTRL,Cable1,Mouse18_Cable1-2026-04-03_12-09-31.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-04-03_12-09-31.eeg
18,CTRL,Cable1,Mouse18_Cable1-2026-04-10_19-28-09.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-04-10_19-28-09.eeg
18,CTRL,Cable1,Mouse18_Cable1-2026-04-17_13-46-23.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1-2026-04-17_13-46-23.eeg
18,CTRL,Cable1,Mouse18_Cable1_2026-03-30_12-01-38.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse18_Cable1_2026-03-30_12-01-38.eeg
19,CTRL,Cable1,Mouse19_Cable1-2026-02-21_13-53-25.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-02-21_13-53-25.eeg
19,CTRL,Cable1,Mouse19_Cable1-2026-03-04_12-59-01.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-03-04_12-59-01.eeg
19,CTRL,Cable1,Mouse19_Cable1-2026-03-09_13-11-23.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-03-09_13-11-23.eeg
19,CTRL,Cable1,Mouse19_Cable1-2026-03-14_13-02-22.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-03-14_13-02-22.eeg
19,CTRL,Cable1,Mouse19_Cable1-2026-03-19_19-00-58.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-03-19_19-00-58.eeg
19,CTRL,Cable1,Mouse19_Cable1-2026-03-27_12-30-35.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-03-27_12-30-35.eeg
19,CTRL,Cable1,Mouse19_Cable1-2026-04-01_12-52-41.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-04-01_12-52-41.eeg
19,CTRL,Cable1,Mouse19_Cable1-2026-04-03_12-34-24.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-04-03_12-34-24.eeg
19,CTRL,Cable1,Mouse19_Cable1-2026-04-10_19-53-31.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-04-10_19-53-31.eeg
19,CTRL,Cable1,Mouse19_Cable1-2026-04-17_14-11-31.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-04-17_14-11-31.eeg
19,CTRL,Cable1,Mouse19_Cable1_2026-03-30_12-31-14.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1_2026-03-30_12-31-14.eeg
24,CTRL,Cable1,Mouse24_Cable1-2026-02-13_11-13-08.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-02-13_11-13-08.eeg
24,CTRL,Cable1,Mouse24_Cable1-2026-03-06_13-06-06.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-03-06_13-06-06.eeg
24,CTRL,Cable1,Mouse24_Cable1-2026-03-11_13-10-18.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-03-11_13-10-18.eeg
24,CTRL,Cable1,Mouse24_Cable1-2026-03-17_12-19-55.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-03-17_12-19-55.eeg
24,CTRL,Cable1,Mouse24_Cable1-2026-03-24_14-29-11.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-03-24_14-29-11.eeg
24,CTRL,Cable1,Mouse24_Cable1-2026-04-01_13-17-43.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-04-01_13-17-43.eeg
24,CTRL,Cable1,Mouse24_Cable1-2026-04-03_12-58-08.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-04-03_12-58-08.eeg
24,CTRL,Cable1,Mouse24_Cable1-2026-04-10_20-16-51.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-04-10_20-16-51.eeg
24,CTRL,Cable1,Mouse24_Cable1-2026-04-17_14-35-35.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-04-17_14-35-35.eeg
24,CTRL,Cable1,Mouse24_Cable1_2026-03-30_12-54-24.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1_2026-03-30_12-54-24.eeg
26,CTRL,Cable1,Mouse26_Cable1-2026-02-21_14-36-19.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-02-21_14-36-19.eeg
26,CTRL,Cable1,Mouse26_Cable1-2026-03-04_13-38-17.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-03-04_13-38-17.eeg
26,CTRL,Cable1,Mouse26_Cable1-2026-03-09_13-51-01.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-03-09_13-51-01.eeg
26,CTRL,Cable1,Mouse26_Cable1-2026-03-14_13-38-05.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-03-14_13-38-05.eeg
26,CTRL,Cable1,Mouse26_Cable1-2026-03-19_15-33-40.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-03-19_15-33-40.eeg
26,CTRL,Cable1,Mouse26_Cable1-2026-03-24_15-03-43.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-03-24_15-03-43.eeg
26,CTRL,Cable1,Mouse26_Cable1-2026-04-01_13-41-00.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-04-01_13-41-00.eeg
26,CTRL,Cable1,Mouse26_Cable1-2026-04-03_13-21-30.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-04-03_13-21-30.eeg
26,CTRL,Cable1,Mouse26_Cable1-2026-04-10_20-40-05.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-04-10_20-40-05.eeg
26,CTRL,Cable1,Mouse26_Cable1-2026-04-17_14-58-58.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-04-17_14-58-58.eeg
26,CTRL,Cable1,Mouse26_Cable1_2026-03-30_13-16-59.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1_2026-03-30_13-16-59.eeg
1,HF,Cable1,Mouse1_Cable1-2026-02-12_11-37-15.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-02-12_11-37-15.eeg
1,HF,Cable1,Mouse1_Cable1-2026-02-21_12-36-13.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-02-21_12-36-13.eeg
1,HF,Cable1,Mouse1_Cable1-2026-03-03_12-16-25.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-03-03_12-16-25.eeg
