mouse,group,cable,filename,file_path,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,excluded,exclusion_reason
19,CTRL,Cable1,Mouse19_Cable1-2026-04-17_14-11-31.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse19_Cable1-2026-04-17_14-11-31.eeg,2026-04-17,recovery,,18.0,30.9,carried,,True,outside_analysis_window
24,CTRL,Cable1,Mouse24_Cable1-2026-02-13_11-13-08.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-02-13_11-13-08.eeg,2026-02-13,baseline,,,28.5,baseline,B,True,outside_analysis_window
24,CTRL,Cable1,Mouse24_Cable1-2026-04-03_12-58-08.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-04-03_12-58-08.eeg,2026-04-03,recovery,,4.0,26.93,interpolated,,True,outside_analysis_window
24,CTRL,Cable1,Mouse24_Cable1-2026-04-10_20-16-51.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-04-10_20-16-51.eeg,2026-04-10,recovery,,11.0,29.52,interpolated,,True,outside_analysis_window
24,CTRL,Cable1,Mouse24_Cable1-2026-04-17_14-35-35.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse24_Cable1-2026-04-17_14-35-35.eeg,2026-04-17,recovery,,18.0,30.4,carried,,True,outside_analysis_window
26,CTRL,Cable1,Mouse26_Cable1-2026-04-03_13-21-30.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-04-03_13-21-30.eeg,2026-04-03,recovery,,4.0,32.55,interpolated,,True,outside_analysis_window
26,CTRL,Cable1,Mouse26_Cable1-2026-04-10_20-40-05.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-04-10_20-40-05.eeg,2026-04-10,recovery,,11.0,34.42,interpolated,,True,outside_analysis_window
26,CTRL,Cable1,Mouse26_Cable1-2026-04-17_14-58-58.eeg,/Users/amanlizahra/Desktop/Cable1_CTRL/Mouse26_Cable1-2026-04-17_14-58-58.eeg,2026-04-17,recovery,,18.0,32.7,carried,,True,outside_analysis_window
1,HF,Cable1,Mouse1_Cable1-2026-02-12_11-37-15.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-02-12_11-37-15.eeg,2026-02-12,baseline,,,31.4,baseline,A,True,outside_analysis_window
1,HF,Cable1,Mouse1_Cable1-2026-04-10_11-27-01.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-04-10_11-27-01.eeg,2026-04-10,recovery,,11.0,35.8,interpolated,,True,outside_analysis_window
1,HF,Cable1,Mouse1_Cable1-2026-04-16_11-11-23.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse1_Cable1-2026-04-16_11-11-23.eeg,2026-04-16,recovery,,17.0,36.2,measured,,True,outside_analysis_window
4,HF,Cable1,Mouse4_Cable1-2026-02-12_10-41-22.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse4_Cable1-2026-02-12_10-41-22.eeg,2026-02-12,baseline,,,36.9,baseline,A,True,outside_analysis_window
4,HF,Cable1,Mouse4_Cable1-2026-04-10_12-02-02.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse4_Cable1-2026-04-10_12-02-02.eeg,2026-04-10,recovery,,11.0,37.58,interpolated,,True,outside_analysis_window
4,HF,Cable1,Mouse4_Cable1-2026-04-16_11-52-30.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse4_Cable1-2026-04-16_11-52-30.eeg,2026-04-16,recovery,,17.0,38.3,measured,,True,outside_analysis_window
9,HF,Cable1,Mouse9_Cable1-2026-04-10_12-27-24.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse9_Cable1-2026-04-10_12-27-24.eeg,2026-04-10,recovery,,11.0,32.98,interpolated,,True,outside_analysis_window
9,HF,Cable1,Mouse9_Cable1-2026-04-16_12-17-00.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse9_Cable1-2026-04-16_12-17-00.eeg,2026-04-16,recovery,,17.0,34.5,measured,,True,outside_analysis_window
10,HF,Cable1,Mouse10_Cable1-2026-02-13_11-56-28.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse10_Cable1-2026-02-13_11-56-28.eeg,2026-02-13,baseline,,,35.0,baseline,C,True,outside_analysis_window
10,HF,Cable1,Mouse10_Cable1-2026-04-10_12-53-12.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse10_Cable1-2026-04-10_12-53-12.eeg,2026-04-10,recovery,,11.0,36.15,interpolated,,True,outside_analysis_window
10,HF,Cable1,Mouse10_Cable1-2026-04-16_12-40-12.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse10_Cable1-2026-04-16_12-40-12.eeg,2026-04-16,recovery,,17.0,33.1,measured,,True,outside_analysis_window
14,HF,Cable1,Mouse14_Cable1-2026-02-12_14-36-02.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-02-12_14-36-02.eeg,2026-02-12,baseline,,,26.3,baseline,D,True,outside_analysis_window
14,HF,Cable1,Mouse14_Cable1-2026-04-10_13-18-12.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-04-10_13-18-12.eeg,2026-04-10,recovery,,11.0,29.0,interpolated,,True,outside_analysis_window
14,HF,Cable1,Mouse14_Cable1-2026-04-16_13-08-12.eeg,/Users/amanlizahra/Desktop/Cable1_HF/Mouse14_Cable1-2026-04-16_13-08-12.eeg,2026-04-16,recovery,,17.0,29.1,measured,,True,outside_analysis_window
