mouse,group,cable,differential_file,recording_date,diet_phase,days_on_diet,days_in_recovery,body_weight,body_weight_source,estrous_phase,delta_abs,delta_rel,theta_abs,theta_rel,beta_abs,beta_rel,low_gamma_abs,low_gamma_rel,high_gamma_abs,high_gamma_rel,fast_gamma_abs,fast_gamma_rel,total_power,log_delta_abs,log_theta_abs,log_beta_abs,log_low_gamma_abs,log_high_gamma_abs,log_fast_gamma_abs,log_theta_delta,log_beta_delta,log_low_gamma_delta,log_high_gamma_delta,log_fast_gamma_delta,log_beta_theta,log_low_gamma_theta,log_high_gamma_theta,log_fast_gamma_theta,log_low_gamma_beta,log_high_gamma_beta,log_fast_gamma_beta,log_high_gamma_low_gamma,log_fast_gamma_low_gamma,log_fast_gamma_high_gamma
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-04_11-03-06_DIFF_Ch3_minus_Ch4.npy,2026-03-04,diet,9.0,,32.13,interpolated,B,23902293.602231614,0.4996972021646095,5960328.278841683,0.2688690930679273,415606.5065157302,0.0506981038436967,105232.91125862408,0.0257864491367894,26187.76323106245,0.0085766088353821,10747.348026351883,0.0035796877721223,919786.4706051208,7.378439576722188,6.775270180170307,5.618682338023154,5.022151585280714,4.41809840572224,4.031301312660092,-0.6031693965518816,-1.7597572386990343,-2.356287991441475,-2.960341170999948,-3.3471382640620964,-1.1565878421471527,-1.7531185948895933,-2.3571717744480667,-2.743968867510215,-0.5965307527424406,-1.200583932300914,-1.5873810253630622,-0.6040531795584735,-0.9908502726206215,-0.3867970930621481
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-09_11-20-55_DIFF_Ch3_minus_Ch4.npy,2026-03-09,diet,14.0,,31.5,measured,B,3341770.581231602,0.2590311188606963,2536171.902607889,0.4458624707860082,140796.47624714766,0.0645114945202155,46919.44857674459,0.0434799614630261,14580.155854343471,0.0179492790759319,6100.369413190704,0.0076341849258558,236439.6862512708,6.523976631456488,6.404178686837399,5.148591785732447,4.671352899405037,4.163762166390706,3.785356134888235,-0.11979794461908894,-1.3753848457240407,-1.8526237320514503,-2.3602144650657815,-2.7386204965682532,-1.2555869011049519,-1.7328257874323614,-2.2404165204466926,-2.6188225519491644,-0.47723888632740946,-0.9848296193417408,-1.3632356508442123,-0.5075907330143313,-0.8859967645168028,-0.3784060315024715
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-14_11-15-50_DIFF_Ch3_minus_Ch4.npy,2026-03-14,diet,19.0,,30.65,interpolated,B,5299671.456595112,0.1423165648896022,7250694.485040153,0.4478243068283036,624731.9246646324,0.1005168078036577,228705.817776419,0.0740009304417708,103720.84214087996,0.0447831971550684,28141.232976014548,0.0123161743914571,664841.5360751676,6.724248947145987,6.860379606098691,5.795693699561241,5.359277212250209,5.015866034279847,4.449343121632794,0.13613065895270468,-0.9285552475847456,-1.3649717348957775,-1.7083829128661394,-2.2749058255131924,-1.0646859065374503,-1.5011023938484822,-1.844513571818844,-2.411036484465897,-0.43641648731103194,-0.7798276652813938,-1.3463505779284468,-0.34341117797036186,-0.9099340906174149,-0.5665229126470531
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-19_16-25-11_DIFF_Ch3_minus_Ch4.npy,2026-03-19,diet,24.0,,30.6,measured,B,3351756.383600703,0.2483343394450696,2195980.2922271774,0.3669871470310127,222210.5208330689,0.0984556008853326,89646.24830075579,0.0796569215319304,25730.8954923452,0.0303521448734683,9137.88366467399,0.0109486353532383,246653.80441269433,6.525272445190097,6.341628438230061,5.346764617303226,4.95253211903626,4.410454900886468,3.960845624707676,-0.1836440069600366,-1.1785078278868717,-1.5727403261538375,-2.1148175443036292,-2.564426820482421,-0.9948638209268352,-1.3890963191938008,-1.9311735373435928,-2.3807828135223845,-0.39423249826696566,-0.9363097164167575,-1.3859189925955495,-0.5420772181497919,-0.9916864943285838,-0.44960927617879193
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-27_10-36-46_DIFF_Ch3_minus_Ch4.npy,2026-03-27,diet,32.0,,30.65,interpolated,A,17447362.42574928,0.5093059371828048,3233226.53511677,0.2276178257650532,369171.90699937905,0.0691433615492394,130219.45531121768,0.0488341134455911,53861.32737241613,0.0269365805702248,17495.063324918436,0.0088760660863247,647516.5531236306,7.241729782554707,6.509636134399525,5.5672286449558355,5.114675874424891,4.731277052072379,4.242915518788795,-0.7320936481551815,-1.6745011375988708,-2.1270539081298154,-2.5104527304823274,-2.998814263765911,-0.9424074894436892,-1.3949602599746342,-1.7783590823271458,-2.26672061561073,-0.4525527705309449,-0.8359515928834566,-1.3243131261670407,-0.38339882235251166,-0.8717603556360957,-0.488361533283584
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-04-01_10-31-21_DIFF_Ch3_minus_Ch4.npy,2026-04-01,recovery,,2.0,31.13,interpolated,A,12038894.038297208,0.3567730547610032,4573059.002749368,0.3086723524393983,464153.0455056043,0.0820701168670716,179783.9924875079,0.0640106783047478,71674.19225753042,0.0340418022599753,28832.444667705488,0.0139090781161363,629768.7512896681,7.080586591977769,6.6602068047927006,5.666661204389546,5.254751020635095,4.855362807302875,4.459881467247137,-0.4203797871850693,-1.413925387588224,-1.8258355713426744,-2.2252237846748946,-2.620705124730632,-0.9935456004031548,-1.405455784157605,-1.8048439974898254,-2.2003253375455625,-0.41191018375445027,-0.8112983970866705,-1.2067797371424078,-0.39938821333222024,-0.7948695533879575,-0.3954813400557373
2,CTRL,Cable1,Mouse2_Cable1_CTRL_2026-03-30_10-02-35_DIFF_Ch3_minus_Ch4.npy,2026-03-30,diet,35.0,,29.6,measured,D,1515711.7340823023,0.2650882323561624,789275.1303149747,0.316159415525805,105770.91046403116,0.1125256367840484,43953.22796901509,0.0933237929584549,16420.963805282394,0.0463869060422593,7487.538688512107,0.0214847855467751,103747.38599943116,6.18061661277263,5.897228418607805,5.024366242727139,4.642990775602093,4.215398643832855,3.874339079425937,-0.2833881941648251,-1.15625037004549,-1.5376258371705367,-1.9652179689397746,-2.3062775333466923,-0.872862175880665,-1.2542376430057116,-1.6818297747749495,-2.022889339181867,-0.3813754671250466,-0.8089675988942845,-1.1500271633012022,-0.4275921317692379,-0.7686516961761558,-0.34105956440691787
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-06_11-12-15_DIFF_Ch2_minus_Ch3.npy,2026-03-06,diet,11.0,,30.95,interpolated,D,2148982.567244909,0.161444564969762,2200891.3572146175,0.3836229551498916,320090.7605865192,0.1465218471601464,75659.36101254643,0.0692478115372999,21886.740830820647,0.0267385644064881,8569.23138241177,0.0106503375063791,235587.2736867683,6.332232892466758,6.342598604967378,5.505273138423413,4.878862669101888,4.340181095301511,3.9329418696073053,0.01036571250062013,-0.8269597540433454,-1.4533702233648695,-1.9920517971652472,-2.399291022859453,-0.8373254665439656,-1.4637359358654898,-2.002417509665867,-2.4096567353600733,-0.6264104693215241,-1.1650920431219016,-1.5723312688161075,-0.5386815738003775,-0.9459207994945834,-0.4072392256942059
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-11_11-11-07_DIFF_Ch2_minus_Ch3.npy,2026-03-11,diet,16.0,,29.77,interpolated,C,667322.9470084962,0.2555488746176252,439150.34464540024,0.4119412320629853,30150.514108681633,0.0734003450130824,10600.580783800498,0.0520203224176334,4957.855314616533,0.0324291335192545,2646.1504353910955,0.0175872195834288,45894.240739588466,5.824336059045016,5.642613227922799,4.479294721871193,4.02532966000911,3.6952938485753046,3.4226145304800086,-0.18172283112221754,-1.3450413371738228,-1.7990063990359064,-2.1290422104697115,-2.4017215285650075,-1.1633185060516051,-1.6172835679136888,-1.9473193793474937,-2.2199986974427897,-0.45396506186208363,-0.7840008732958886,-1.0566801913911845,-0.330035811433805,-0.602715129529101,-0.27267931809529594
5,CTRL,Cable1,Mouse5_Cable1_CTRL_2026-03-17_10-31-53_DIFF_Ch2_minus_Ch3.npy,2026-03-17,diet,22.0,,29.33,interpolated,C,670519.9272209455,0.245648650320539,498504.1846978077,0.4443380551493314,29700.68831404032,0.0685485072788923,9802.730631606832,0.0456119304004611,4185.02738171711,0.0259423377878365,2100.3888114283145,0.0132316472031931,48043.512470986665,5.826411689202526,5.697668808351864,4.472766514217065,3.991347068861142,3.621698303832204,3.322299696175729,-0.12874288085066307,-1.3536451749854614,-1.8350646203413845,-2.2047133853703222,-2.5041119930267977,-1.2249022941347982,-1.7063217394907215,-2.0759705045196593,-2.3753691121761347,-0.4814194453559233,-0.851068210384861,-1.1504668180413364,-0.36964876502893773,-0.669047372685413,-0.29939860765647536
