group,n,mean,std,sem,welch_t,welch_p
CTRL,9,31.466666666666672,2.065792826011359,0.6885976086704529,-0.07916461650942931,0.9378877188995651
HF,10,31.559999999999995,3.026255478676944,0.9569860094182265,-0.07916461650942931,0.9378877188995651
