frequency_Hz,CTRL_mean,CTRL_sem,HF_mean,HF_sem
1.220703125,0.19169744617657095,0.04644026479487581,0.14478920323030497,0.021373585308499764
1.8310546875,0.13321197264947382,0.01816461774122303,0.11014527327738763,0.011818733283735842
2.44140625,0.0958194759426508,0.007464923897166066,0.08369203318631586,0.0076278390836741405
3.0517578125,0.07918428829674336,0.005629449937870079,0.06853351292189377,0.006211633020646967
3.662109375,0.06795160337741277,0.004592348824290434,0.059089843277081736,0.0053708804744187575
4.2724609375,0.05987591448882923,0.003910030194451912,0.05273943192498076,0.0045899102963997
4.8828125,0.05477068691591133,0.003146995780979434,0.049335391276442944,0.0036510169861342333
5.4931640625,0.05205330473730887,0.002408793280750867,0.05001648978641665,0.0037465476925570246
6.103515625,0.051524836138409615,0.0017747813826850744,0.05587484798397482,0.006350276348304524
6.7138671875,0.05555448502916304,0.003274531996466905,0.06568739862839715,0.009668412929248246
7.32421875,0.061955986417365376,0.007309153923106442,0.07387701553348618,0.01252525761328163
7.9345703125,0.06503719456115761,0.010243451700685495,0.07658692469919648,0.013685130563617167
8.544921875,0.06404629104333301,0.01131413475935139,0.07375582111895632,0.013358366649346485
9.1552734375,0.05965715052960458,0.011176614986363837,0.0652186383785766,0.011603064509423656
9.765625,0.05105017000938366,0.009755384852965515,0.051702903955419335,0.008412366176563938
10.3759765625,0.03876285071984494,0.006287178674723026,0.037523100932562156,0.004310937335333941
10.986328125,0.02819905727837899,0.002854112857969372,0.027927680294407547,0.0017748245449470024
11.5966796875,0.02202449894905974,0.0013231407304336135,0.022768612464964748,0.001107667785852485
12.20703125,0.01857119770211644,0.0010729238442622928,0.01977481628990338,0.001078744284679229
12.8173828125,0.016356450141201184,0.001099640298557543,0.01783261620193815,0.0010994613500175169
13.427734375,0.0146975564137563,0.0011350069497608078,0.016264918346618064,0.0010797856221868884
14.0380859375,0.013460750231569068,0.0011168268845761075,0.015153948641430359,0.0010393131501156107
14.6484375,0.012572610807573518,0.0010463996258797705,0.014479457036289983,0.0010324982727773443
15.2587890625,0.012043420091891237,0.0009982674381856457,0.013947095391338251,0.0009773463277976575
15.869140625,0.011690954257286331,0.0009426181718112213,0.013703258797304264,0.0010032468707472533
