mouse,group,differential_file,beta_episode_rate,beta_mean_duration_sec,beta_mean_amplitude,beta_fraction_of_time,beta_n_episodes,beta_threshold,low_gamma_episode_rate,low_gamma_mean_duration_sec,low_gamma_mean_amplitude,low_gamma_fraction_of_time,low_gamma_n_episodes,low_gamma_threshold,high_gamma_episode_rate,high_gamma_mean_duration_sec,high_gamma_mean_amplitude,high_gamma_fraction_of_time,high_gamma_n_episodes,high_gamma_threshold
5,CTRL,Mouse5_Cable1_CTRL_2026-03-30_10-27-44_DIFF_Ch2_minus_Ch3.npy,2.598684231633238,0.12933333333333333,20.194233854241777,0.005601608232631646,54,17.53942294314505,2.0211988468258517,0.1252380952380952,15.885493359139994,0.004218851561231738,42,16.917555388185125,1.8768275006240052,0.12674871794871795,12.55689257633721,0.0039647579919164875,39,14.692573508128772
7,CTRL,Mouse7_Cable1_CTRL_2026-03-04_11-40-58_DIFF_Ch3_minus_Ch4.npy,2.5995441266116632,0.13794,180.9599744131379,0.005976351947080213,80,149.42437612431968,8.026092490913511,0.4078704453441296,180.62759975016724,0.05456009864403446,247,161.52102112335666,3.3144187614298706,0.13947450980392156,109.62073584327511,0.007704615533922534,102,118.28850370322121
7,CTRL,Mouse7_Cable1_CTRL_2026-03-09_11-59-34_DIFF_Ch3_minus_Ch4.npy,3.882661404518504,0.29040672268907564,340.95100606636197,0.018792516229959703,119,137.34228188257487,7.080147267063155,0.22150414746543778,219.97081281785012,0.026138033072009556,217,137.2020512326618,3.9479162180398237,0.17563636363636365,169.96277941631536,0.011556627474625665,121,108.72122699958251
7,CTRL,Mouse7_Cable1_CTRL_2026-03-14_11-51-43_DIFF_Ch3_minus_Ch4.npy,3.791287116700873,0.14322782608695656,192.14898078630924,0.009050296863275856,115,153.4552362700614,3.42864226205992,0.14176153846153847,162.1640556589786,0.008100826698397725,104,145.6101545704062,2.934126551185893,0.13773483146067417,123.90856024669377,0.0067355237668646345,89,117.51903647162816
7,CTRL,Mouse7_Cable1_CTRL_2026-03-19_17-01-34_DIFF_Ch3_minus_Ch4.npy,7.6157993734779295,0.1923914163090129,224.75126104347854,0.024420240463145195,233,183.29787833749123,3.464698427419144,0.14240754716981135,146.89522682137323,0.008223320078864381,106,143.30501108035614,2.4187517323492136,0.13708108108108108,99.2398076107795,0.0055260850389527985,74,109.40033202551658
7,CTRL,Mouse7_Cable1_CTRL_2026-03-27_11-12-28_DIFF_Ch3_minus_Ch4.npy,4.098722597580202,0.19015680000000001,238.7959674878666,0.012989999554058981,125,194.88317272476633,3.6724554474318607,0.13445714285714286,181.2019486391239,0.00822979777886397,112,183.24984100225834,2.6887620240126124,0.12758048780487805,132.96406980872476,0.005717226176912672,82,146.0740880583703
7,CTRL,Mouse7_Cable1_CTRL_2026-04-01_11-18-33_DIFF_Ch3_minus_Ch4.npy,2.826655819239584,0.13819310344827587,169.59313184134066,0.006510405667347447,58,138.83971995822748,3.8988356127442536,0.12946,130.23711377776823,0.008412387640431186,80,133.13740798018273,3.99630650306286,0.13216585365853661,100.64161558318472,0.008802921007641068,82,111.46667949577133
7,CTRL,Mouse7_Cable1_CTRL_2026-03-30_10-51-09_DIFF_Ch3_minus_Ch4.npy,6.127594014799598,0.2005714285714286,202.17441589635163,0.020483671420901513,126,143.62857657223662,5.203591742726642,0.14157757009345792,156.14294421003157,0.012278531244893672,107,139.92168987402874,3.696009088291821,0.1323894736842105,111.97150404077271,0.008155211632183551,76,111.12734283842914
8,CTRL,Mouse8_Cable1_CTRL_2026-03-06_11-51-01_DIFF_Ch3_minus_Ch4.npy,4.6116547495651865,0.16925142857142858,191.2900297825665,0.013008819240702026,140,148.87884707058913,4.7763567049068,0.2561655172413793,135.27120293848068,0.020392298097363013,145,124.23954648295327,2.668171676534144,0.12426666666666666,84.50323480530234,0.005526080005621827,81,89.08742059132828
8,CTRL,Mouse8_Cable1_CTRL_2026-03-11_11-51-53_DIFF_Ch3_minus_Ch4.npy,4.588921324163175,0.1932521739130435,174.7603490016015,0.014780317030174264,138,132.2476207624557,7.0163941985393485,0.28452701421800947,128.2146975820021,0.033272561531449404,211,114.48208500520911,1.995183184418772,0.1661466666666667,81.61138372816731,0.005524883924676071,60,78.50814241595398
